#QtyReferenceManufacturer Part NumberValue
11BATT1S2B-PH-K-SS2B-PH-K-S
25C1C2C3C4C5EMK105BJ105KV-F1uF
31J1USB-C31-S-RA-CS1E-BK-T/RUSB-C31-S-RA-CS1E-BK-T/R
41L1VLS3012CX-220M-122uH
53LED1LED2LED3SMS1105UWDWSMS1105UWDW
64R1R3R4R5RC0402JR-0710KL10k0
71R2CRCW04026R80FKED6r8
81R6CR0603-FX-1201ELF1k2
92R9R10RC0402JR-071K2L5k1
101S1CL-SB-12C-12CL-SB-12C-12
111U1PIC16F15213T-I/MFPIC16F15213T-I/MF
121U2BQ21040DBVRBQ21040DBVR
131U3TPS61158DRVRTPS61158DRVR
